REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
May-23,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,182.4,,,,1
Jun-23,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,183.2,,,,1
Jul-23,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,184.1,,,,1
Aug-23,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,183.6,,,,1
Sep-23,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,183.7,,,,1
Oct-23,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,184.1,,,,1
Nov-23,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,184,,,,1
Dec-23,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,185.1,,,,1
Jan-24,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,186.9,,,,1
Feb-24,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,187,,,,1
Mar-24,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,187.4,,,,1
Apr-24,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,186.8,,,,1
May-24,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,188,,,,1
Jun-24,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,189,,,,1
Jul-24,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,189.5,,,,1
Aug-24,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,190.3,,,,1
Sep-24,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,190.7,,,,1
Oct-24,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,189.7,,,,1
Nov-24,Newfoundland and Labrador,2016A000210,Food,2002=100,17,units,0,v41691245,3.3,189.8,,,,1
