Province,City,Year,Quarter,1_Bedroom_Rent,2_Bedroom_Rent,All-items,Food,Shelter,Household_ops,Clothing and footwear,Transportation,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis"
Ontario,Brantford,2022,4,1530.0,1830.0,155.13333333333333,178.53333333333333,171.4333333333333,135.76666666666668,93.7,165.83333333333334,142.66666666666666,123.46666666666665,182.86666666666667
Ontario,Brantford,2023,1,1570.0,1850.0,156.46666666666667,184.4333333333333,173.23333333333335,135.83333333333334,92.53333333333335,163.86666666666667,144.76666666666668,124.3,187.9333333333333
Ontario,Brantford,2023,2,1570.0,1880.0,158.26666666666668,186.26666666666665,174.66666666666666,136.43333333333334,93.76666666666667,167.6,147.83333333333334,126.56666666666666,189.33333333333334
Ontario,Brantford,2023,3,1610.0,1870.0,159.73333333333332,186.96666666666667,177.0666666666667,135.16666666666666,94.13333333333333,171.66666666666666,148.93333333333334,127.43333333333334,191.1
Ontario,Brantford,2023,4,1640.0,1950.0,160.29999999999998,187.4,180.4333333333333,134.63333333333333,95.53333333333335,168.33333333333334,149.0,127.73333333333335,192.13333333333333
Ontario,Brantford,2024,1,1620.0,1910.0,160.5,189.4,182.5666666666667,133.26666666666665,92.0,168.56666666666666,149.5,125.60000000000001,193.96666666666667
Ontario,Brantford,2024,2,1620.0,1900.0,162.83333333333334,190.73333333333335,184.79999999999998,134.66666666666666,92.63333333333333,173.6,152.29999999999998,127.96666666666668,194.96666666666667
Ontario,Brantford,2024,3,1680.0,1910.0,163.33333333333334,192.53333333333333,186.29999999999998,134.86666666666667,91.63333333333333,172.9,153.43333333333334,127.33333333333333,195.76666666666665
Ontario,Brantford,2024,4,1690.0,1910.0,163.23333333333332,191.76666666666665,188.20000000000002,132.76666666666668,92.16666666666667,172.0666666666667,154.16666666666666,126.66666666666667,194.53333333333333
Ontario,Brantford,2025,1,1650.0,1880.0,164.1,190.73333333333335,189.63333333333333,134.56666666666666,91.93333333333334,173.66666666666666,154.26666666666668,127.83333333333333,191.9
Alberta,Calgary,2020,1,1180.0,1410.0,144.76666666666665,153.20000000000002,174.46666666666667,122.56666666666666,102.0,146.13333333333333,139.76666666666665,114.63333333333333,171.46666666666667
Alberta,Calgary,2020,2,1190.0,1400.0,144.03333333333333,153.70000000000002,173.73333333333335,122.63333333333333,96.66666666666667,144.70000000000002,139.5,114.66666666666667,173.4
Alberta,Calgary,2020,3,1190.0,1400.0,144.70000000000002,152.79999999999998,174.66666666666666,122.66666666666667,96.93333333333334,147.23333333333332,140.23333333333335,115.46666666666665,172.26666666666665
Alberta,Calgary,2020,4,1170.0,1380.0,145.13333333333333,152.96666666666667,175.5333333333333,122.16666666666667,97.53333333333335,148.53333333333333,140.23333333333335,115.56666666666668,171.13333333333333
Alberta,Calgary,2021,1,1180.0,1420.0,146.36666666666667,155.0,176.86666666666667,121.33333333333333,93.76666666666667,153.5,140.66666666666666,115.8,170.66666666666666
Alberta,Calgary,2021,2,1200.0,1440.0,148.4,156.76666666666668,178.0,121.7,96.03333333333335,158.79999999999998,141.03333333333333,116.73333333333335,173.26666666666665
Alberta,Calgary,2021,3,1210.0,1450.0,150.70000000000002,157.9,182.4,122.39999999999999,95.53333333333335,163.23333333333335,141.33333333333334,119.26666666666667,173.79999999999998
